CBSA,ZIP,Locale,State,CBSA Title
12060,30269,Peachtree City,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
42660,98155,Lake Forest Park,WA,"Seattle-Tacoma-Bellevue, WA"
43420,85635,Sierra Vista,AZ,"Sierra Vista-Douglas, AZ"
39740,19601,Reading,PA,"Reading, PA"
31930,45784,Vincent,OH,"Marietta, OH"
17460,44122,Beachwood,OH,"Cleveland-Elyria, OH"
10580,12305,Schenectady,NY,"Albany-Schenectady-Troy, NY"
12580,21022,Brooklandville,MD,"Baltimore-Columbia-Towson, MD"
12060,30033,Decatur,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
35620,10983,Tappan,NY,"New York-Newark-Jersey City, NY-NJ-PA"
35620,07446,Ramsey,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
41740,92118,Coronado,CA,"San Diego-Chula Vista-Carlsbad, CA"
40380,14418,Branchport,NY,"Rochester, NY"
47900,20861,Ashton,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
41860,94127,San Francisco,CA,"San Francisco-Oakland-Berkeley, CA"
45060,13346,Hamilton,NY,"Syracuse, NY"
35620,07044,Verona,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
12060,30113,Buchanan,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
39300,02814,Chepachet,RI,"Providence-Warwick, RI-MA"
10740,87106,Albuquerque,NM,"Albuquerque, NM"
35620,07470,Wayne,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
41700,78230,San Antonio,TX,"San Antonio-New Braunfels, TX"
23420,93710,Fresno,CA,"Fresno, CA"
42660,98195,Seattle,WA,"Seattle-Tacoma-Bellevue, WA"
35620,10901,Suffern,NY,"New York-Newark-Jersey City, NY-NJ-PA"
31080,90007,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA"
47260,23187,Williamsburg,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
36580,13326,Cooperstown,NY,"Oneonta, NY"
47900,20521,Washington,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
19740,80013,Aurora,CO,"Denver-Aurora-Lakewood, CO"
NULL,45387,Yellow Springs,OH,NULL
41740,92120,San Diego,CA,"San Diego-Chula Vista-Carlsbad, CA"
14380,28604,Sugar Mountain,NC,"Boone, NC"
32820,38109,Memphis,TN,"Memphis, TN-MS-AR"
40380,14526,Penfield,NY,"Rochester, NY"
25900,96739,Kailua Kona,HI,"Hilo, HI"
39820,96003,Redding,CA,"Redding, CA"
17860,65010,Ashland,MO,"Columbia, MO"
49340,01610,Worcester,MA,"Worcester, MA-CT"
48140,54403,Wausau,WI,"Wausau-Weston, WI"
21500,16505,Erie,PA,"Erie, PA"
15540,05444,Cambridge,VT,"Burlington-South Burlington, VT"
17460,44147,Broadview Heights,OH,"Cleveland-Elyria, OH"
45820,66611,Topeka,KS,"Topeka, KS"
45140,74451,Park Hill,OK,"Tahlequah, OK"
17460,44131,Seven Hills,OH,"Cleveland-Elyria, OH"
38300,15071,Oakdale,PA,"Pittsburgh, PA"
16980,60010,Barrington,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
28140,64081,Lees Summit,MO,"Kansas City, MO-KS"
45340,87571,Taos,NM,"Taos, NM"
NULL,12164,Speculator,NY,NULL
19100,75208,Dallas,TX,"Dallas-Fort Worth-Arlington, TX"
40060,23069,Hanover,VA,"Richmond, VA"
19100,75060,Irving,TX,"Dallas-Fort Worth-Arlington, TX"
NULL,30597,Dahlonega,GA,NULL
12060,30092,Peachtree Corners,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
NULL,24465,Monterey,VA,NULL
31080,92604,Irvine,CA,"Los Angeles-Long Beach-Anaheim, CA"
42660,98043,Mountlake Terrace,WA,"Seattle-Tacoma-Bellevue, WA"
14500,80466,Nederland,CO,"Boulder, CO"
NULL,12993,Westport,NY,NULL
38060,85255,Scottsdale,AZ,"Phoenix-Mesa-Chandler, AZ"
35620,11794,Stony Brook,NY,"New York-Newark-Jersey City, NY-NJ-PA"
16980,60654,Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
35620,11766,Mount Sinai,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,03741,Canaan,NH,NULL
31080,91505,Burbank,CA,"Los Angeles-Long Beach-Anaheim, CA"
35620,08889,Whitehouse Station,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
21340,79913,El Paso,TX,"El Paso, TX"
35620,07853,Long Valley,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
29620,48842,Holt,MI,"Lansing-East Lansing, MI"
29820,89135,Las Vegas,NV,"Las Vegas-Henderson-Paradise, NV"
35620,11753,Jericho,NY,"New York-Newark-Jersey City, NY-NJ-PA"
41180,63107,Saint Louis,MO,"St. Louis, MO-IL"
41700,78201,San Antonio,TX,"San Antonio-New Braunfels, TX"
14460,01853,Lowell,MA,"Boston-Cambridge-Newton, MA-NH"
16980,60604,Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
41540,21851,Pocomoke,MD,"Salisbury, MD-DE"
42660,98208,Everett,WA,"Seattle-Tacoma-Bellevue, WA"
NULL,05753,Middlebury,VT,NULL
16740,28273,Charlotte,NC,"Charlotte-Concord-Gastonia, NC-SC"
40900,95628,Fair Oaks,CA,"Sacramento-Roseville-Folsom, CA"
12420,78619,Driftwood,TX,"Austin-Round Rock-Georgetown, TX"
41540,19967,Millville,DE,"Salisbury, MD-DE"
46520,96821,Honolulu,HI,"Urban Honolulu, HI"
11260,99501,Anchorage,AK,"Anchorage, AK"
